state,day,feat,value,rank.states,1,2,3,4,5
Alabama,2020-01-17,36,481,3,media,bullshit,information,it would be,scare
Alabama,2020-01-17,48,549,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-17,56,321,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-17,73,520,2,cure,world,made,imagine,ebola
Alabama,2020-01-18,0,337,4,because of the,online,right now .,situation,china
Alabama,2020-01-18,36,416,3,media,bullshit,information,it would be,scare
Alabama,2020-01-18,48,482,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-18,56,305,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-18,73,426,2,cure,world,made,imagine,ebola
Alabama,2020-01-19,0,330,4,because of the,online,right now .,situation,china
Alabama,2020-01-19,36,428,2,media,bullshit,information,it would be,scare
Alabama,2020-01-19,48,465,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-19,73,426,3,cure,world,made,imagine,ebola
Alabama,2020-01-19,93,303,5,#iran,thread,died,die,in 
Alabama,2020-01-20,0,380,4,because of the,online,right now .,situation,china
Alabama,2020-01-20,36,506,3,media,bullshit,information,it would be,scare
Alabama,2020-01-20,48,550,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-20,56,354,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-20,73,526,2,cure,world,made,imagine,ebola
Alabama,2020-01-21,0,411,4,because of the,online,right now .,situation,china
Alabama,2020-01-21,36,576,2,media,bullshit,information,it would be,scare
Alabama,2020-01-21,48,645,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-21,73,554,3,cure,world,made,imagine,ebola
Alabama,2020-01-21,93,397,5,#iran,thread,died,die,in 
Alabama,2020-01-22,0,428,4,because of the,online,right now .,situation,china
Alabama,2020-01-22,36,576,2,media,bullshit,information,it would be,scare
Alabama,2020-01-22,48,642,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-22,56,400,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-22,73,544,3,cure,world,made,imagine,ebola
Alabama,2020-01-23,0,374,4,because of the,online,right now .,situation,china
Alabama,2020-01-23,36,531,2,media,bullshit,information,it would be,scare
Alabama,2020-01-23,48,580,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-23,73,530,3,cure,world,made,imagine,ebola
Alabama,2020-01-23,93,368,5,#iran,thread,died,die,in 
Alabama,2020-01-24,0,353,4,because of the,online,right now .,situation,china
Alabama,2020-01-24,36,548,2,media,bullshit,information,it would be,scare
Alabama,2020-01-24,48,575,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-24,56,324,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-24,73,532,3,cure,world,made,imagine,ebola
Alabama,2020-01-25,0,294,4,because of the,online,right now .,situation,china
Alabama,2020-01-25,36,491,3,media,bullshit,information,it would be,scare
Alabama,2020-01-25,48,543,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-25,73,492,2,cure,world,made,imagine,ebola
Alabama,2020-01-25,93,289,5,#iran,thread,died,die,in 
Alabama,2020-01-26,36,661,2,media,bullshit,information,it would be,scare
Alabama,2020-01-26,48,693,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-26,54,421,5,news,heard,due to the,has been,plan
Alabama,2020-01-26,73,637,3,cure,world,made,imagine,ebola
Alabama,2020-01-26,93,463,4,#iran,thread,died,die,in 
Alabama,2020-01-27,0,490,4,because of the,online,right now .,situation,china
Alabama,2020-01-27,36,670,2,media,bullshit,information,it would be,scare
Alabama,2020-01-27,48,761,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-27,56,489,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-27,73,659,3,cure,world,made,imagine,ebola
Alabama,2020-01-28,0,464,4,because of the,online,right now .,situation,china
Alabama,2020-01-28,36,599,3,media,bullshit,information,it would be,scare
Alabama,2020-01-28,48,662,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-28,56,452,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-28,73,621,2,cure,world,made,imagine,ebola
Alabama,2020-01-29,0,420,4,because of the,online,right now .,situation,china
Alabama,2020-01-29,36,566,3,media,bullshit,information,it would be,scare
Alabama,2020-01-29,48,613,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-29,56,405,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-29,73,587,2,cure,world,made,imagine,ebola
Alabama,2020-01-30,0,364,4,because of the,online,right now .,situation,china
Alabama,2020-01-30,36,513,2,media,bullshit,information,it would be,scare
Alabama,2020-01-30,48,559,1,trump,is a hoax,democrats,called,hoax
